,Video ID,Likes,Sentiment
342,IUwqf08-FKU,2356,0
343,IUwqf08-FKU,2538,0
344,IUwqf08-FKU,989,0
345,IUwqf08-FKU,739,2
346,IUwqf08-FKU,3368,0
347,IUwqf08-FKU,415,2
348,U48UrDpXGog,2,1
349,U48UrDpXGog,7,2
350,U48UrDpXGog,2,2
351,U48UrDpXGog,2,1
352,U48UrDpXGog,3,0
353,U48UrDpXGog,0,1
354,U48UrDpXGog,0,2
355,U48UrDpXGog,3,0
356,U48UrDpXGog,1,0
357,U48UrDpXGog,0,2
358,#NAME?,5170,1
359,#NAME?,1060,1
360,#NAME?,81,2
361,#NAME?,48,2
362,#NAME?,44,2
363,#NAME?,6583,2
364,#NAME?,9,2
365,#NAME?,3,2
366,#NAME?,3,2
367,#NAME?,2,2
368,_f8Gb-vojoU,208,2
369,_f8Gb-vojoU,105,2
370,_f8Gb-vojoU,46,2
371,_f8Gb-vojoU,43,2
372,_f8Gb-vojoU,19,2
373,_f8Gb-vojoU,197,1
374,_f8Gb-vojoU,97,2
375,_f8Gb-vojoU,6,1
376,_f8Gb-vojoU,66,2
377,_f8Gb-vojoU,14,2
378,MAeXrShneoQ,2,0
379,MAeXrShneoQ,14,0
380,MAeXrShneoQ,2,2
381,MAeXrShneoQ,51,2
382,MAeXrShneoQ,25,0
383,MAeXrShneoQ,9,2
384,MAeXrShneoQ,0,0
385,MAeXrShneoQ,4,0
386,MAeXrShneoQ,9,1
387,MAeXrShneoQ,2,0
388,AREK4H8k7Ng,7757,1
389,AREK4H8k7Ng,449,0
390,AREK4H8k7Ng,93,2
391,AREK4H8k7Ng,135,0
392,AREK4H8k7Ng,131,1
393,AREK4H8k7Ng,3310,2
394,AREK4H8k7Ng,35,2
395,AREK4H8k7Ng,22,2
396,AREK4H8k7Ng,8,2
397,AREK4H8k7Ng,8,2
398,B0HI0RTZdJw,296,2
399,B0HI0RTZdJw,80,2
400,B0HI0RTZdJw,11,2
401,B0HI0RTZdJw,9,2
402,B0HI0RTZdJw,7,2
403,B0HI0RTZdJw,234,1
404,B0HI0RTZdJw,3,2
405,B0HI0RTZdJw,3,2
406,B0HI0RTZdJw,0,2
407,B0HI0RTZdJw,2,2
408,Wuq7lS9rljw,2487,1
409,Wuq7lS9rljw,3105,0
410,Wuq7lS9rljw,251,0
411,Wuq7lS9rljw,141,2
412,Wuq7lS9rljw,38,0
413,Wuq7lS9rljw,19,2
414,Wuq7lS9rljw,2731,2
415,Wuq7lS9rljw,12,0
416,Wuq7lS9rljw,2,0
417,Wuq7lS9rljw,5,2
418,VuG4BcghOSg,4831,2
419,VuG4BcghOSg,3328,1
420,VuG4BcghOSg,62,1
421,VuG4BcghOSg,18,2
422,VuG4BcghOSg,3,2
423,VuG4BcghOSg,3,2
424,VuG4BcghOSg,1451,1
425,VuG4BcghOSg,3,2
426,VuG4BcghOSg,2,1
427,VuG4BcghOSg,0,2
428,o-jUQhCeazQ,6320,2
429,o-jUQhCeazQ,4239,1
430,o-jUQhCeazQ,3956,2
431,o-jUQhCeazQ,3071,2
432,o-jUQhCeazQ,1686,1
433,o-jUQhCeazQ,894,2
434,o-jUQhCeazQ,997,2
435,o-jUQhCeazQ,950,2
436,o-jUQhCeazQ,55,1
437,o-jUQhCeazQ,923,2
438,#NAME?,4224,2
439,#NAME?,942,2
440,#NAME?,1003,2
441,#NAME?,332,2
442,#NAME?,6053,2
443,#NAME?,427,1
444,#NAME?,162,2
445,#NAME?,83,1
446,#NAME?,637,1
447,#NAME?,3462,2
448,#NAME?,16,2
449,#NAME?,58,2
450,#NAME?,1,0
451,#NAME?,6,1
452,#NAME?,0,1
453,UxjgqBamqDU,43,2
454,UxjgqBamqDU,7,2
455,UxjgqBamqDU,15,2
456,UxjgqBamqDU,3,2
457,UxjgqBamqDU,0,2
458,UxjgqBamqDU,6,2
459,UxjgqBamqDU,7,1
460,UxjgqBamqDU,0,1
461,UxjgqBamqDU,1,2
462,UxjgqBamqDU,3,2
463,YvZPU-KBCiQ,5846,2
464,YvZPU-KBCiQ,1234,0
465,YvZPU-KBCiQ,1394,2
466,YvZPU-KBCiQ,938,2
467,YvZPU-KBCiQ,490,0
468,YvZPU-KBCiQ,3233,2
469,YvZPU-KBCiQ,761,2
470,YvZPU-KBCiQ,391,2
471,YvZPU-KBCiQ,351,2
472,YvZPU-KBCiQ,346,2
473,#NAME?,104,0
474,#NAME?,32,0
475,#NAME?,136,0
476,#NAME?,216,1
477,#NAME?,93,0
478,#NAME?,23,1
479,#NAME?,18,0
480,#NAME?,145,0
481,#NAME?,66,0
482,#NAME?,3,0
483,4RkfqEWK2FI,0,1
484,4RkfqEWK2FI,5,0
485,4RkfqEWK2FI,9,0
486,4RkfqEWK2FI,12,1
487,4RkfqEWK2FI,36,0
488,4RkfqEWK2FI,7,0
489,4RkfqEWK2FI,1,2
490,4RkfqEWK2FI,0,0
491,4RkfqEWK2FI,5,1
492,4RkfqEWK2FI,53,0
493,GK8CFuXExLw,26,0
494,GK8CFuXExLw,154,0
495,GK8CFuXExLw,8,0
496,GK8CFuXExLw,41,0
497,GK8CFuXExLw,96,1
498,GK8CFuXExLw,162,2
499,GK8CFuXExLw,14,2
500,GK8CFuXExLw,1,2
501,GK8CFuXExLw,10,2
502,GK8CFuXExLw,1,1
503,95MMQzBkE30,72,0
504,95MMQzBkE30,29,2
505,95MMQzBkE30,42,0
506,95MMQzBkE30,2,1
507,95MMQzBkE30,0,2
508,95MMQzBkE30,4,0
509,95MMQzBkE30,6,1
510,95MMQzBkE30,46,1
511,95MMQzBkE30,2,0
512,95MMQzBkE30,3,0
513,nv7owOSprnI,11,0
514,nv7owOSprnI,1,0
515,nv7owOSprnI,19,2
516,nv7owOSprnI,1,0
517,nv7owOSprnI,0,1
518,nv7owOSprnI,3,0
519,nv7owOSprnI,5,0
520,nv7owOSprnI,0,1
521,nv7owOSprnI,0,0
522,nv7owOSprnI,4,1
523,rqbFOOt1q9M,0,1
524,rqbFOOt1q9M,20,1
525,rqbFOOt1q9M,22,0
526,rqbFOOt1q9M,1,1
527,rqbFOOt1q9M,6,1
528,rqbFOOt1q9M,5,0
529,rqbFOOt1q9M,7,2
530,rqbFOOt1q9M,0,1
531,rqbFOOt1q9M,0,1
532,rqbFOOt1q9M,11,0
533,_XFJpfSFcpU,102,0
534,_XFJpfSFcpU,151,2
535,_XFJpfSFcpU,623,1
536,_XFJpfSFcpU,53,0
537,_XFJpfSFcpU,35,1
538,_XFJpfSFcpU,225,2
539,_XFJpfSFcpU,561,2
540,_XFJpfSFcpU,41,0
541,_XFJpfSFcpU,104,0
542,_XFJpfSFcpU,85,1
543,fNHmQdrlIZE,94,1
544,fNHmQdrlIZE,2,1
545,fNHmQdrlIZE,47,0
546,fNHmQdrlIZE,7,1
547,fNHmQdrlIZE,1,0
548,fNHmQdrlIZE,2,0
549,fNHmQdrlIZE,56,2
550,fNHmQdrlIZE,97,1
551,fNHmQdrlIZE,5,2
552,fNHmQdrlIZE,47,1
553,zvS8Fmxv1_U,1,0
554,zvS8Fmxv1_U,14,2
555,zvS8Fmxv1_U,11,0
556,zvS8Fmxv1_U,3,0
557,zvS8Fmxv1_U,0,2
558,zvS8Fmxv1_U,1,2
559,zvS8Fmxv1_U,4,1
560,zvS8Fmxv1_U,9,1
561,zvS8Fmxv1_U,1,1
562,zvS8Fmxv1_U,1,1
563,OTFKyW-vc_Y,34,1
564,OTFKyW-vc_Y,47,1
565,OTFKyW-vc_Y,139,0
566,OTFKyW-vc_Y,4,1
567,OTFKyW-vc_Y,72,0
568,OTFKyW-vc_Y,11,2
569,OTFKyW-vc_Y,142,0
570,OTFKyW-vc_Y,30,1
571,OTFKyW-vc_Y,3,0
572,OTFKyW-vc_Y,58,0
573,IH3DYzS4MdI,235,1
574,IH3DYzS4MdI,222,0
575,IH3DYzS4MdI,162,0
576,IH3DYzS4MdI,66,0
577,IH3DYzS4MdI,61,1
578,IH3DYzS4MdI,50,0
579,IH3DYzS4MdI,38,1
580,IH3DYzS4MdI,66,0
581,IH3DYzS4MdI,102,0
582,IH3DYzS4MdI,60,0
583,q7sXUpqA_X4,5,0
584,q7sXUpqA_X4,12,0
585,q7sXUpqA_X4,42,1
586,q7sXUpqA_X4,9,1
587,q7sXUpqA_X4,8,0
588,q7sXUpqA_X4,21,0
589,q7sXUpqA_X4,100,0
590,q7sXUpqA_X4,1,0
591,q7sXUpqA_X4,1,1
592,q7sXUpqA_X4,23,0
593,NS-9bd2hOOQ,4,0
594,NS-9bd2hOOQ,0,0
595,NS-9bd2hOOQ,1,1
596,NS-9bd2hOOQ,0,0
597,NS-9bd2hOOQ,2,0
598,NS-9bd2hOOQ,1,1
599,NS-9bd2hOOQ,7,0
600,NS-9bd2hOOQ,0,2
601,NS-9bd2hOOQ,2,0
602,NS-9bd2hOOQ,0,0
603,0IH09JBETbI,6,1
604,0IH09JBETbI,12,1
605,0IH09JBETbI,4,1
606,0IH09JBETbI,0,1
607,0IH09JBETbI,2,1
608,0IH09JBETbI,4,1
609,0IH09JBETbI,0,1
610,0IH09JBETbI,1,1
611,0IH09JBETbI,2,1
612,0IH09JBETbI,1,1
613,lX3EBSNjPII,210,1
614,lX3EBSNjPII,12,1
615,lX3EBSNjPII,27,1
616,lX3EBSNjPII,121,0
617,lX3EBSNjPII,57,1
618,lX3EBSNjPII,14,0
619,lX3EBSNjPII,38,0
620,lX3EBSNjPII,9,1
621,lX3EBSNjPII,2,0
622,lX3EBSNjPII,16,1
623,Tey5qEth4oA,418,0
624,Tey5qEth4oA,330,0
625,Tey5qEth4oA,459,0
626,Tey5qEth4oA,190,1
627,Tey5qEth4oA,83,2
628,Tey5qEth4oA,81,0
629,Tey5qEth4oA,125,1
630,Tey5qEth4oA,108,0
631,Tey5qEth4oA,133,0
632,Tey5qEth4oA,23,0
633,L5p4Nov0KkU,25,0
634,L5p4Nov0KkU,27,0
635,L5p4Nov0KkU,13,2
636,L5p4Nov0KkU,48,1
637,L5p4Nov0KkU,69,0
638,L5p4Nov0KkU,43,2
639,L5p4Nov0KkU,16,0
640,L5p4Nov0KkU,32,0
641,L5p4Nov0KkU,40,2
642,L5p4Nov0KkU,35,2
643,MSTmUJU48g4,33,0
644,MSTmUJU48g4,31,0
645,MSTmUJU48g4,39,0
646,MSTmUJU48g4,14,0
647,MSTmUJU48g4,12,0
648,MSTmUJU48g4,16,0
649,MSTmUJU48g4,9,0
650,MSTmUJU48g4,14,0
651,MSTmUJU48g4,12,1
652,MSTmUJU48g4,24,0
653,Sdm1WsGGU0w,3,1
654,Sdm1WsGGU0w,0,1
655,Sdm1WsGGU0w,0,1
656,XHKojSQxTs0,0,1
657,XHKojSQxTs0,0,0
658,XHKojSQxTs0,0,0
659,voU9-39bicg,0,1
660,88w5Q03Lcro,0,2
661,88w5Q03Lcro,3,1
662,88w5Q03Lcro,0,1
663,88w5Q03Lcro,0,1
664,88w5Q03Lcro,0,1
665,88w5Q03Lcro,1,1
666,88w5Q03Lcro,0,1
667,88w5Q03Lcro,0,1
668,88w5Q03Lcro,1,1
669,B0ga0OUkb9c,199,1
670,B0ga0OUkb9c,191,1
671,B0ga0OUkb9c,264,2
672,B0ga0OUkb9c,16,1
673,B0ga0OUkb9c,123,1
674,B0ga0OUkb9c,31,1
675,B0ga0OUkb9c,45,1
676,B0ga0OUkb9c,29,1
677,B0ga0OUkb9c,99,1
678,B0ga0OUkb9c,23,1
679,#NAME?,49,0
680,#NAME?,35,1
681,#NAME?,52,0
682,#NAME?,69,0
683,#NAME?,4,0
684,#NAME?,3,1
685,#NAME?,43,0
686,#NAME?,1,0
687,#NAME?,173,0
688,#NAME?,17,0
689,o3TQPM5OkEU,89,0
690,o3TQPM5OkEU,77,2
691,o3TQPM5OkEU,91,2
692,o3TQPM5OkEU,46,0
693,o3TQPM5OkEU,123,0
694,o3TQPM5OkEU,49,2
695,o3TQPM5OkEU,76,2
696,o3TQPM5OkEU,31,2
697,o3TQPM5OkEU,116,0
698,o3TQPM5OkEU,72,1
699,lHDn25SLgdk,1397,2
700,lHDn25SLgdk,1539,1
701,lHDn25SLgdk,781,2
702,lHDn25SLgdk,421,2
703,lHDn25SLgdk,314,2
704,lHDn25SLgdk,237,1
705,lHDn25SLgdk,519,0
706,lHDn25SLgdk,377,2
707,lHDn25SLgdk,364,1
708,lHDn25SLgdk,36,0
709,kSKxCN8M-WE,7,1
710,kSKxCN8M-WE,4,1
711,kSKxCN8M-WE,2,1
712,kSKxCN8M-WE,2,1
713,kSKxCN8M-WE,2,1
714,kSKxCN8M-WE,1,1
715,kSKxCN8M-WE,0,1
716,kSKxCN8M-WE,1,1
717,kSKxCN8M-WE,0,1
718,kSKxCN8M-WE,0,1
719,fHCk3o_5l7o,131,0
720,fHCk3o_5l7o,62,2
721,fHCk3o_5l7o,39,0
722,fHCk3o_5l7o,14,2
723,fHCk3o_5l7o,83,0
724,fHCk3o_5l7o,65,2
725,fHCk3o_5l7o,66,1
726,fHCk3o_5l7o,39,0
727,fHCk3o_5l7o,125,1
728,fHCk3o_5l7o,29,2
729,8NL6YyEW2ww,7,0
730,8NL6YyEW2ww,1,1
731,8NL6YyEW2ww,1,0
732,8NL6YyEW2ww,2,1
733,8NL6YyEW2ww,1,0
734,8NL6YyEW2ww,0,1
735,8NL6YyEW2ww,0,1
736,8NL6YyEW2ww,4,2
737,8NL6YyEW2ww,31,2
738,8NL6YyEW2ww,8,0
739,uDSR4wV_zno,231,0
740,uDSR4wV_zno,1067,0
741,uDSR4wV_zno,82,2
742,uDSR4wV_zno,42,2
743,uDSR4wV_zno,64,1
744,uDSR4wV_zno,332,1
745,uDSR4wV_zno,146,2
746,uDSR4wV_zno,130,2
747,uDSR4wV_zno,72,1
748,uDSR4wV_zno,67,0
749,f2TK2lpFFzs,2,2
750,f2TK2lpFFzs,0,2
751,f2TK2lpFFzs,1,1
752,f2TK2lpFFzs,1,1
753,f2TK2lpFFzs,1,1
754,f2TK2lpFFzs,0,1
755,f2TK2lpFFzs,0,1
756,f2TK2lpFFzs,0,1
757,8Vqj8Ls29HI,1,2
758,8Vqj8Ls29HI,0,1
759,8Vqj8Ls29HI,0,2
760,8Vqj8Ls29HI,0,1
761,8Vqj8Ls29HI,0,0
762,8Vqj8Ls29HI,0,1
763,8Vqj8Ls29HI,0,1
